word|esp|vad.valence|vad.arousal|vad.dominance|sent.anger|sent.anticipation|sent.disgust|sent.fear|sent.joy|sent.sadness|sent.surprise|sent.trust
"interesting"|"interesante"|0.927|0.726|0.731|0.000|0.004|0.000|0.000|0.360|0.000|0.002|0.003
"interface"|"interfaz"|0.643|0.357|0.600|0.000|0.002|0.000|0.000|0.001|0.000|0.000|0.079
"interfere"|"interferir"|0.323|0.714|0.471|0.023|0.001|0.003|0.006|0.000|0.002|0.004|0.000
"interference"|"interferencia"|0.396|0.736|0.357|0.001|0.000|0.000|0.024|0.000|0.004|0.002|0.000
"interferometer"|"interferómetro"|0.510|0.510|0.517|0.003|0.005|0.000|0.003|0.000|0.000|0.001|0.001
"intergalactic"|"intergaláctico"|0.562|0.661|0.741|0.002|0.003|0.001|0.002|0.001|0.000|0.000|0.113
"interim"|"provisional"|0.604|0.400|0.524|0.000|0.375|0.000|0.000|0.000|0.000|0.000|0.000
"interior"|"interior"|0.618|0.157|0.462|0.000|0.000|0.086|0.000|0.000|0.000|0.000|0.320
"interject"|"interponer"|0.333|0.648|0.658|0.006|0.000|0.000|0.183|0.000|0.000|0.002|0.000
"interlocutory"|"interlocutorio"|0.490|0.500|0.527|0.003|0.005|0.001|0.003|0.000|0.000|0.001|0.002
"interlude"|"interludio"|0.470|0.417|0.377|0.001|0.000|0.000|0.003|0.001|0.001|0.001|0.002
"intermediary"|"intermediario"|0.427|0.510|0.643|0.002|0.002|0.001|0.002|0.000|0.000|0.001|0.010
"intermediate"|"intermedio"|0.480|0.368|0.400|0.000|0.000|0.001|0.001|0.004|0.001|0.000|0.002
"interment"|"entierro"|0.235|0.608|0.346|0.000|0.000|0.000|0.000|0.000|0.578|0.000|0.000
"interminable"|"interminable"|0.327|0.481|0.561|0.343|0.375|0.000|0.000|0.000|0.000|0.000|0.000
"intermission"|"descanso"|0.490|0.360|0.402|0.000|0.508|0.000|0.000|0.000|0.000|0.000|0.000
"intermittent"|"intermitente"|0.337|0.565|0.436|0.043|0.000|0.002|0.025|0.000|0.001|0.000|0.000
"intern"|"interno"|0.459|0.460|0.392|0.001|0.000|0.001|0.005|0.002|0.001|0.000|0.000
"internal"|"interno"|0.439|0.349|0.423|0.001|0.000|0.001|0.003|0.000|0.005|0.000|0.005
"internally"|"internamente"|0.615|0.400|0.616|0.000|0.005|0.001|0.000|0.001|0.000|0.000|0.286
"international"|"internacional"|0.800|0.519|0.702|0.000|0.001|0.000|0.001|0.009|0.000|0.000|0.062
"internet"|"Internet"|0.760|0.462|0.755|0.000|0.005|0.000|0.000|0.000|0.000|0.000|0.145
"internship"|"internado"|0.590|0.510|0.482|0.000|0.006|0.001|0.001|0.003|0.000|0.001|0.005
"interoffice"|"oficina"|0.439|0.375|0.556|0.002|0.002|0.002|0.001|0.000|0.003|0.000|0.036
"interpolate"|"interpolar"|0.460|0.490|0.569|0.006|0.002|0.000|0.010|0.000|0.002|0.000|0.002
"interpolation"|"interpolación"|0.419|0.506|0.528|0.008|0.008|0.001|0.009|0.000|0.001|0.000|0.002
"interpret"|"interpretar"|0.646|0.625|0.673|0.001|0.001|0.000|0.002|0.003|0.000|0.001|0.003
"interpretation"|"interpretación"|0.677|0.594|0.620|0.000|0.005|0.000|0.001|0.003|0.000|0.000|0.006
"interpreter"|"Interprete"|0.708|0.461|0.596|0.000|0.007|0.000|0.000|0.002|0.001|0.001|0.043
"interpretive"|"interpretativo"|0.531|0.549|0.595|0.002|0.001|0.001|0.003|0.001|0.000|0.000|0.006
"interrelated"|"interrelacionado"|0.615|0.469|0.592|0.000|0.005|0.000|0.000|0.001|0.000|0.000|0.017
"interrogate"|"interrogar"|0.323|0.808|0.680|0.000|0.000|0.000|0.375|0.000|0.000|0.000|0.000
"interrogation"|"interrogatorio"|0.302|0.827|0.657|0.000|0.000|0.000|0.609|0.000|0.000|0.000|0.000
"interrupt"|"interrumpir"|0.210|0.635|0.509|0.333|0.000|0.000|0.000|0.000|0.000|0.539|0.000
"interrupted"|"interrumpido"|0.281|0.559|0.333|0.000|0.000|0.000|0.000|0.000|0.188|0.000|0.000
"interrupting"|"interrumpiendo"|0.146|0.593|0.509|0.358|0.000|0.000|0.000|0.000|0.000|0.000|0.000
"interruption"|"interrupción"|0.184|0.632|0.425|0.013|0.000|0.018|0.011|0.000|0.007|0.000|0.000
"interrupts"|"interrupciones"|0.204|0.545|0.389|0.265|0.000|0.000|0.000|0.000|0.000|0.000|0.000
"intersect"|"intersecarse"|0.521|0.510|0.480|0.001|0.001|0.001|0.001|0.001|0.001|0.001|0.002
"intersection"|"intersección"|0.344|0.541|0.658|0.005|0.000|0.001|0.011|0.000|0.002|0.000|0.009
"interstate"|"interestatal"|0.520|0.443|0.600|0.002|0.001|0.000|0.000|0.001|0.000|0.000|0.045
"interstellar"|"interestelar"|0.708|0.702|0.622|0.001|0.010|0.000|0.002|0.003|0.000|0.002|0.003
"interstitial"|"intersticial"|0.333|0.471|0.534|0.015|0.002|0.002|0.010|0.000|0.006|0.002|0.000
"interval"|"intervalo"|0.510|0.284|0.400|0.001|0.002|0.002|0.003|0.000|0.003|0.001|0.003
"intervene"|"intervenir"|0.520|0.677|0.768|0.004|0.003|0.001|0.010|0.001|0.000|0.000|0.030
"intervening"|"interviniendo"|0.398|0.627|0.442|0.003|0.006|0.002|0.014|0.001|0.002|0.000|0.002
"intervention"|"intervención"|0.388|0.696|0.689|0.000|0.000|0.000|0.000|0.000|0.348|0.000|0.000
"interview"|"entrevista"|0.573|0.770|0.619|0.000|0.000|0.000|0.180|0.000|0.000|0.000|0.000
"interviewer"|"entrevistador"|0.552|0.736|0.816|0.000|0.000|0.000|0.172|0.000|0.000|0.000|0.000
"interworking"|"interfuncionamiento"|0.552|0.587|0.691|0.000|0.003|0.000|0.002|0.000|0.000|0.000|0.039
"intestate"|"intestado"|0.459|0.467|0.415|0.003|0.000|0.001|0.019|0.001|0.002|0.001|0.000
"intestinal"|"intestinal"|0.357|0.531|0.370|0.000|0.000|0.695|0.000|0.000|0.000|0.000|0.000
"intestine"|"intestino"|0.343|0.450|0.380|0.012|0.000|0.000|0.001|0.000|0.003|0.000|0.000
"intestines"|"intestinos"|0.292|0.547|0.398|0.006|0.001|0.002|0.026|0.000|0.003|0.003|0.000
"intimacy"|"intimidad"|0.857|0.802|0.558|0.000|0.000|0.000|0.203|0.000|0.000|0.000|0.000
"intimate"|"íntimo"|0.724|0.598|0.393|0.000|0.570|0.000|0.000|0.710|0.000|0.000|0.634
"intimately"|"íntimamente"|0.806|0.573|0.590|0.000|0.453|0.000|0.156|0.507|0.000|0.000|0.000
"intimation"|"intimación"|0.406|0.673|0.500|0.007|0.004|0.002|0.005|0.000|0.000|0.002|0.000
"intimidate"|"intimidar"|0.210|0.804|0.632|0.000|0.000|0.000|0.641|0.000|0.000|0.000|0.000
"intimidated"|"intimidado"|0.177|0.663|0.208|0.010|0.000|0.006|0.025|0.000|0.157|0.001|0.000
"intimidating"|"intimidante"|0.229|0.790|0.708|0.090|0.001|0.011|0.404|0.000|0.002|0.000|0.000
"intimidation"|"intimidación"|0.177|0.791|0.644|0.703|0.000|0.000|0.559|0.000|0.000|0.000|0.000
"intolerable"|"intolerable"|0.146|0.660|0.439|0.609|0.000|0.000|0.000|0.000|0.000|0.000|0.000
"intolerance"|"intolerancia"|0.052|0.704|0.520|0.469|0.000|0.523|0.516|0.000|0.000|0.000|0.000
"intolerant"|"intolerante"|0.135|0.676|0.509|0.564|0.000|0.531|0.500|0.000|0.500|0.000|0.000
"intonation"|"entonación"|0.615|0.442|0.598|0.000|0.022|0.000|0.000|0.002|0.000|0.000|0.044
"intoxicated"|"embriagado"|0.079|0.824|0.246|0.000|0.000|0.594|0.000|0.000|0.000|0.000|0.000
"intoxicating"|"embriagador"|0.224|0.760|0.464|0.144|0.000|0.003|0.093|0.000|0.002|0.001|0.000
"intoxication"|"intoxicación"|0.323|0.710|0.400|0.003|0.001|0.002|0.009|0.000|0.001|0.001|0.000
"intracranial"|"intracraneal"|0.281|0.602|0.553|0.028|0.000|0.011|0.040|0.000|0.003|0.000|0.000
"intractable"|"intratable"|0.154|0.694|0.302|0.500|0.000|0.000|0.000|0.000|0.000|0.000|0.000
"intramural"|"intramuros"|0.490|0.464|0.447|0.003|0.002|0.000|0.005|0.001|0.001|0.002|0.002
"intravenous"|"intravenoso"|0.357|0.538|0.458|0.018|0.000|0.001|0.008|0.000|0.000|0.000|0.000
"intrepid"|"intrépido"|0.753|0.696|0.637|0.000|0.005|0.000|0.001|0.007|0.000|0.001|0.003
"intricate"|"intrincado"|0.559|0.704|0.500|0.006|0.003|0.000|0.002|0.004|0.000|0.003|0.001
"intrigue"|"intriga"|0.362|0.830|0.327|0.000|0.648|0.000|0.188|0.000|0.000|0.430|0.000
"intriguing"|"intrigante"|0.422|0.713|0.462|0.002|0.011|0.001|0.019|0.001|0.001|0.011|0.000
"intrinsic"|"intrínseco"|0.406|0.471|0.526|0.002|0.003|0.001|0.005|0.000|0.001|0.002|0.002
"intrinsically"|"intrínsecamente"|0.459|0.382|0.538|0.001|0.001|0.004|0.002|0.001|0.001|0.000|0.024
"intro"|"intro"|0.510|0.331|0.657|0.000|0.001|0.000|0.000|0.000|0.000|0.000|0.118
"introduce"|"introducir"|0.592|0.559|0.648|0.001|0.001|0.000|0.002|0.000|0.000|0.000|0.016
"introduction"|"Introducción"|0.612|0.413|0.640|0.001|0.003|0.002|0.000|0.001|0.000|0.000|0.075
"introductory"|"introductorio"|0.635|0.368|0.593|0.000|0.002|0.000|0.000|0.001|0.000|0.000|0.049
"introspection"|"introspección"|0.603|0.337|0.575|0.000|0.002|0.000|0.000|0.001|0.000|0.000|0.117
"introspective"|"introspectivo"|0.552|0.360|0.471|0.000|0.005|0.000|0.000|0.001|0.000|0.001|0.026
"intrude"|"entrometerse"|0.058|0.735|0.480|0.034|0.000|0.034|0.052|0.000|0.074|0.000|0.000
"intruder"|"intruso"|0.146|0.740|0.324|0.531|0.000|0.000|0.828|0.000|0.000|0.703|0.000
"intrusion"|"intrusión"|0.293|0.641|0.670|0.000|0.000|0.000|0.484|0.000|0.000|0.000|0.000
"intrusive"|"intruso"|0.461|0.607|0.538|0.598|0.000|0.531|0.469|0.000|0.000|0.617|0.000
"intubation"|"intubación"|0.276|0.598|0.526|0.027|0.000|0.018|0.038|0.000|0.003|0.000|0.000
"intuition"|"intuición"|0.857|0.508|0.602|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.555
"intuitive"|"intuitivo"|0.771|0.573|0.690|0.001|0.002|0.000|0.001|0.020|0.000|0.002|0.012
"intuitively"|"intuitivamente"|0.670|0.561|0.648|0.000|0.500|0.000|0.000|0.000|0.000|0.000|0.000
"inundation"|"inundación"|0.177|0.780|0.455|0.077|0.000|0.011|0.043|0.000|0.003|0.000|0.000
"invade"|"invadir"|0.408|0.892|0.714|0.562|0.000|0.000|0.766|0.000|0.453|0.773|0.000
"invader"|"invasor"|0.200|0.827|0.618|0.588|0.000|0.000|0.766|0.000|0.420|0.000|0.000
"invalid"|"inválido"|0.180|0.330|0.255|0.000|0.000|0.000|0.000|0.000|0.188|0.000|0.000
"invalidate"|"invalidar"|0.315|0.480|0.397|0.002|0.000|0.002|0.005|0.000|0.002|0.001|0.000
"invalidation"|"invalidación"|0.181|0.490|0.278|0.001|0.000|0.006|0.006|0.000|0.229|0.000|0.000
"invalidity"|"invalidez"|0.186|0.394|0.158|0.004|0.000|0.014|0.006|0.000|0.022|0.000|0.000
"invaluable"|"inestimable"|0.740|0.500|0.745|0.000|0.005|0.000|0.000|0.001|0.001|0.000|0.150
"invariably"|"invariablemente"|0.458|0.365|0.550|0.003|0.001|0.004|0.006|0.000|0.002|0.000|0.014
"invasion"|"invasión"|0.271|0.843|0.808|0.594|0.000|0.000|0.000|0.000|0.000|0.000|0.000
"invasive"|"invasor"|0.194|0.730|0.598|0.055|0.000|0.002|0.115|0.000|0.002|0.000|0.000
"invent"|"inventar"|0.719|0.689|0.833|0.001|0.006|0.000|0.003|0.005|0.000|0.002|0.003
"invention"|"invención"|0.714|0.577|0.811|0.000|0.011|0.000|0.000|0.002|0.000|0.000|0.201
"inventive"|"inventivo"|0.780|0.627|0.721|0.001|0.019|0.000|0.001|0.011|0.000|0.002|0.011
"inventor"|"inventor"|0.781|0.667|0.847|0.001|0.011|0.001|0.000|0.062|0.000|0.003|0.089
"inventory"|"inventario"|0.594|0.463|0.490|0.001|0.002|0.001|0.001|0.008|0.000|0.001|0.005
"inverse"|"inverso"|0.459|0.337|0.319|0.000|0.003|0.001|0.006|0.000|0.002|0.000|0.003
"inversely"|"inversamente"|0.286|0.418|0.351|0.005|0.000|0.003|0.008|0.000|0.016|0.000|0.000
"inversion"|"inversión"|0.602|0.630|0.772|0.001|0.002|0.000|0.004|0.001|0.000|0.001|0.065
"invert"|"invertir"|0.510|0.585|0.706|0.000|0.001|0.000|0.001|0.000|0.000|0.000|0.104
"inverted"|"invertido"|0.310|0.471|0.357|0.028|0.000|0.002|0.015|0.000|0.003|0.000|0.000
"invest"|"invertir"|0.650|0.663|0.682|0.001|0.002|0.000|0.001|0.003|0.000|0.001|0.003
"investigate"|"investigar"|0.640|0.500|0.781|0.000|0.003|0.000|0.002|0.002|0.000|0.000|0.091
"investigation"|"investigación"|0.531|0.592|0.820|0.000|0.586|0.000|0.000|0.000|0.000|0.000|0.000
"investigative"|"investigador"|0.562|0.600|0.704|0.000|0.001|0.000|0.001|0.000|0.000|0.000|0.064
"investigator"|"investigador"|0.615|0.509|0.779|0.000|0.003|0.000|0.002|0.001|0.000|0.000|0.055
"investment"|"inversión"|0.720|0.592|0.745|0.000|0.027|0.000|0.001|0.011|0.000|0.002|0.010
"investor"|"inversor"|0.794|0.655|0.791|0.000|0.002|0.000|0.000|0.010|0.000|0.001|0.004
"invidious"|"odioso"|0.112|0.650|0.364|0.027|0.000|0.077|0.018|0.000|0.016|0.000|0.000
"invigorate"|"vigorizar"|0.821|0.798|0.831|0.000|0.006|0.001|0.001|0.031|0.001|0.004|0.006
"invincible"|"invencible"|0.867|0.853|0.914|0.000|0.006|0.000|0.000|0.309|0.000|0.006|0.055
"invisibility"|"invisibilidad"|0.438|0.461|0.382|0.003|0.000|0.001|0.004|0.001|0.003|0.001|0.000
"invisible"|"invisible"|0.417|0.345|0.412|0.001|0.000|0.004|0.003|0.000|0.004|0.000|0.002
"invitation"|"invitación"|0.802|0.549|0.647|0.000|0.664|0.000|0.000|0.000|0.000|0.000|0.000
"invite"|"invitación"|0.745|0.655|0.611|0.000|0.570|0.000|0.000|0.457|0.000|0.266|0.430
"inviting"|"atractivo"|0.938|0.571|0.538|0.000|0.578|0.000|0.000|0.500|0.000|0.289|0.578
"invocation"|"invocación"|0.430|0.620|0.673|0.000|0.500|0.000|0.000|0.000|0.000|0.000|0.547
"invoice"|"factura"|0.480|0.380|0.474|0.002|0.003|0.001|0.000|0.000|0.002|0.000|0.005
"invoke"|"invocar"|0.583|0.740|0.579|0.000|0.469|0.000|0.000|0.000|0.000|0.000|0.000
"involuntary"|"involuntario"|0.354|0.490|0.231|0.002|0.002|0.003|0.003|0.000|0.003|0.002|0.000
"involution"|"involución"|0.296|0.420|0.407|0.300|0.000|0.000|0.000|0.000|0.000|0.000|0.000
"involve"|"involucrar"|0.694|0.490|0.728|0.000|0.006|0.000|0.000|0.001|0.000|0.000|0.220
"involvement"|"enredo"|0.760|0.620|0.696|0.152|0.000|0.000|0.000|0.000|0.000|0.000|0.000
"invulnerable"|"invulnerable"|0.552|0.683|0.745|0.004|0.003|0.001|0.003|0.001|0.000|0.000|0.076
"inwards"|"hacia adentro"|0.490|0.385|0.438|0.001|0.000|0.000|0.002|0.002|0.002|0.000|0.005
"iodine"|"yodo"|0.390|0.265|0.333|0.000|0.000|0.004|0.000|0.000|0.007|0.001|0.001
"ion"|"ion"|0.429|0.330|0.408|0.002|0.001|0.002|0.010|0.000|0.003|0.000|0.008
"iota"|"iota"|0.344|0.385|0.314|0.001|0.001|0.006|0.003|0.000|0.005|0.001|0.000
"irate"|"airado"|0.188|0.852|0.474|0.844|0.000|0.000|0.000|0.000|0.000|0.000|0.000
"ire"||0.198|0.740|0.575|0.547|0.000|0.000|0.000|0.000|0.000|0.000|0.000
"iridescent"|"iridiscente"|0.602|0.588|0.539|0.000|0.001|0.000|0.000|0.001|0.000|0.000|0.030
"iris"|"iris"|0.708|0.275|0.380|0.000|0.000|0.000|0.160|0.000|0.000|0.000|0.000
"irked"|"irritado"|0.164|0.791|0.353|0.026|0.001|0.006|0.017|0.000|0.004|0.000|0.000
"irks"|"irrita"|0.276|0.781|0.339|0.606|0.000|0.000|0.000|0.000|0.000|0.000|0.000
"iron"|"hierro"|0.448|0.351|0.679|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.398
"ironclad"|"acorazado"|0.561|0.648|0.679|0.001|0.003|0.000|0.000|0.000|0.000|0.000|0.009
"ironic"|"irónico"|0.435|0.550|0.500|0.010|0.002|0.002|0.014|0.000|0.001|0.000|0.000
"irons"|"hierros"|0.531|0.441|0.625|0.002|0.001|0.000|0.000|0.000|0.000|0.000|0.131
"irony"|"ironía"|0.390|0.587|0.508|0.005|0.002|0.002|0.017|0.000|0.000|0.000|0.001
"irradiation"|"irradiación"|0.385|0.736|0.509|0.001|0.002|0.000|0.054|0.000|0.000|0.000|0.000
"irrational"|"irracional"|0.125|0.648|0.394|0.000|0.000|0.383|0.305|0.000|0.000|0.000|0.000
"irrationality"|"irracionalidad"|0.198|0.735|0.361|0.041|0.000|0.002|0.062|0.000|0.002|0.000|0.000
"irreconcilable"|"irreconciliable"|0.146|0.667|0.375|0.543|0.000|0.000|0.438|0.000|0.594|0.000|0.000
"irreducible"|"irreducible"|0.296|0.455|0.569|0.015|0.000|0.000|0.003|0.000|0.003|0.000|0.001
"irrefutable"|"irrefutable"|0.496|0.549|0.716|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.578
"irregular"|"irregular"|0.312|0.548|0.321|0.001|0.001|0.001|0.003|0.000|0.012|0.003|0.000
"irregularity"|"irregularidad"|0.104|0.647|0.306|0.017|0.000|0.024|0.033|0.000|0.030|0.000|0.000
"irregularly"|"irregularmente"|0.292|0.565|0.397|0.015|0.001|0.003|0.043|0.000|0.006|0.003|0.000
"irrelevant"|"irrelevante"|0.138|0.311|0.296|0.001|0.000|0.001|0.002|0.000|0.070|0.000|0.000
"irreparable"|"irreparable"|0.061|0.530|0.430|0.000|0.000|0.000|0.625|0.000|0.609|0.000|0.000
"irreplaceable"|"insustituible"|0.479|0.580|0.833|0.001|0.000|0.000|0.003|0.000|0.000|0.000|0.128
"irrepressible"|"irreprimible"|0.512|0.566|0.745|0.002|0.000|0.000|0.002|0.000|0.000|0.000|0.173
"irresistible"|"irresistible"|0.823|0.833|0.839|0.000|0.006|0.000|0.001|0.165|0.001|0.007|0.002
"irrespective"|"desconsiderado"|0.497|0.538|0.745|0.002|0.000|0.000|0.001|0.000|0.000|0.000|0.107
"irresponsible"|"irresponsable"|0.177|0.680|0.241|0.017|0.000|0.018|0.016|0.000|0.094|0.003|0.000
"irreverent"|"irreverente"|0.191|0.694|0.634|0.071|0.000|0.003|0.018|0.000|0.010|0.001|0.000
"irreversible"|"irreversible"|0.170|0.541|0.667|0.012|0.000|0.001|0.010|0.000|0.009|0.000|0.000
"irrevocable"|"irrevocable"|0.296|0.560|0.712|0.025|0.000|0.001|0.046|0.000|0.003|0.000|0.003
"irrigate"|"irrigar"|0.272|0.458|0.490|0.075|0.000|0.009|0.030|0.000|0.009|0.000|0.000
"irrigation"|"irrigación"|0.259|0.426|0.426|0.009|0.000|0.007|0.002|0.000|0.011|0.000|0.000
"irritability"|"irritabilidad"|0.146|0.853|0.283|0.609|0.000|0.000|0.000|0.000|0.000|0.000|0.000
"irritable"|"irritable"|0.112|0.952|0.462|0.667|0.000|0.000|0.000|0.000|0.000|0.000|0.000
"irritate"|"irritar"|0.167|0.890|0.368|0.621|0.000|0.000|0.000|0.000|0.000|0.000|0.000
"irritated"|"irritado"|0.210|0.816|0.281|0.706|0.000|0.000|0.000|0.000|0.000|0.000|0.000
"irritates"|"irrita"|0.173|0.810|0.295|0.676|0.000|0.000|0.000|0.000|0.000|0.000|0.000
"irritating"|"irritante"|0.104|0.912|0.393|0.606|0.000|0.375|0.000|0.000|0.000|0.000|0.000
"irritation"|"irritacion"|0.073|0.833|0.496|0.438|0.000|0.375|0.000|0.000|0.470|0.000|0.000
"island"|"isla"|0.745|0.347|0.432|0.000|0.000|0.000|0.000|0.022|0.000|0.001|0.016
"isle"|"isla"|0.667|0.390|0.443|0.000|0.002|0.000|0.000|0.022|0.000|0.000|0.006
"islet"|"isleta"|0.612|0.314|0.367|0.001|0.003|0.000|0.001|0.002|0.000|0.000|0.001
"isolate"|"aislar"|0.235|0.422|0.336|0.000|0.000|0.000|0.000|0.000|0.703|0.000|0.000
"isolated"|"aislado"|0.221|0.356|0.255|0.000|0.000|0.000|0.641|0.000|0.547|0.000|0.000
"isolation"|"aislamiento"|0.198|0.338|0.339|0.000|0.000|0.000|0.000|0.000|0.703|0.000|0.000
"isomorphism"|"isomorfismo"|0.448|0.361|0.481|0.002|0.003|0.000|0.000|0.000|0.001|0.000|0.005
"isothermal"|"isotérmico"|0.459|0.491|0.500|0.005|0.005|0.001|0.005|0.000|0.000|0.000|0.000
"isotope"|"isótopo"|0.429|0.404|0.407|0.001|0.000|0.002|0.004|0.000|0.000|0.000|0.001
"issue"|"problema"|0.316|0.819|0.351|0.003|0.012|0.002|0.044|0.001|0.002|0.022|0.000
"itch"|"picar"|0.319|0.610|0.465|0.018|0.000|0.006|0.015|0.000|0.003|0.000|0.000
"itching"|"Comezón"|0.208|0.690|0.300|0.041|0.000|0.015|0.086|0.000|0.075|0.001|0.000
"itchy"|"picante"|0.334|0.726|0.296|0.004|0.000|0.001|0.042|0.000|0.005|0.007|0.001
"item"|"ít"|0.594|0.270|0.465|0.000|0.001|0.000|0.000|0.002|0.000|0.000|0.172
"itemize"|"detallar"|0.459|0.527|0.518|0.008|0.003|0.003|0.005|0.000|0.000|0.000|0.000
"items"|"artículos"|0.542|0.401|0.434|0.000|0.000|0.000|0.001|0.012|0.001|0.000|0.003
"iterate"|"iterar"|0.449|0.460|0.440|0.005|0.000|0.001|0.019|0.000|0.002|0.002|0.000
"iteration"|"iteración"|0.531|0.449|0.486|0.000|0.002|0.000|0.000|0.002|0.000|0.001|0.023
"iterative"|"iterativo"|0.429|0.420|0.500|0.002|0.003|0.004|0.001|0.000|0.000|0.001|0.002
"itinerant"|"itinerante"|0.449|0.545|0.439|0.007|0.000|0.001|0.008|0.000|0.000|0.002|0.000
"itinerary"|"itinerario"|0.551|0.550|0.454|0.002|0.003|0.001|0.007|0.003|0.002|0.003|0.003
"ivory"|"Marfil"|0.625|0.235|0.566|0.000|0.002|0.001|0.001|0.002|0.000|0.000|0.028
"jab"|"pinchazo"|0.385|0.519|0.482|0.574|0.000|0.000|0.000|0.000|0.000|0.000|0.000
"jabber"|"farfullar"|0.417|0.506|0.342|0.024|0.000|0.003|0.010|0.000|0.001|0.000|0.000
"jack"|"Jack"|0.487|0.450|0.441|0.003|0.002|0.001|0.008|0.001|0.002|0.002|0.003
"jackal"|"chacal"|0.333|0.582|0.436|0.015|0.000|0.005|0.025|0.000|0.000|0.000|0.000
"jackass"|"burro"|0.188|0.692|0.279|0.025|0.000|0.026|0.019|0.000|0.090|0.001|0.000
"jacket"|"chaqueta"|0.656|0.302|0.382|0.001|0.002|0.000|0.001|0.005|0.001|0.000|0.005
"jackhammer"|"martillo neumático"|0.199|0.690|0.519|0.009|0.000|0.006|0.086|0.000|0.006|0.002|0.000
"jackpot"|"bote"|0.950|0.750|0.786|0.000|0.656|0.000|0.000|0.641|0.000|0.812|0.000
"jackrabbit"|"liebre"|0.625|0.379|0.344|0.001|0.000|0.001|0.002|0.005|0.000|0.002|0.001
"jacks"|"tomas"|0.490|0.400|0.505|0.001|0.002|0.001|0.001|0.001|0.000|0.000|0.015
"jade"|"jade"|0.604|0.410|0.455|0.000|0.002|0.001|0.001|0.001|0.000|0.002|0.016
"jaded"|"hastiado"|0.255|0.560|0.400|0.002|0.000|0.002|0.054|0.000|0.056|0.000|0.000
"jag"||0.408|0.440|0.427|0.007|0.001|0.001|0.001|0.000|0.003|0.001|0.001
"jagged"|"dentado"|0.082|0.462|0.213|0.003|0.000|0.014|0.016|0.000|0.150|0.000|0.000
"jaguar"|"jaguar"|0.559|0.710|0.654|0.007|0.002|0.000|0.006|0.000|0.001|0.000|0.001
"jail"|"cárcel"|0.094|0.898|0.480|0.000|0.000|0.000|0.578|0.000|0.656|0.000|0.000
"jailbird"|"presidiario"|0.240|0.567|0.473|0.003|0.000|0.010|0.015|0.000|0.003|0.000|0.000
"jailbreak"|"fuga"|0.354|0.629|0.471|0.050|0.000|0.002|0.043|0.000|0.002|0.000|0.000
"jailer"|"carcelero"|0.194|0.630|0.632|0.006|0.001|0.002|0.086|0.000|0.009|0.000|0.001
"jailhouse"|"cárcel"|0.104|0.887|0.430|0.108|0.000|0.009|0.185|0.000|0.012|0.002|0.000
"jalopy"|"cacharro"|0.396|0.436|0.337|0.001|0.001|0.003|0.003|0.000|0.001|0.000|0.000
"jam"|"mermelada"|0.510|0.548|0.318|0.004|0.000|0.001|0.011|0.002|0.000|0.000|0.000
"jamboree"|"francachela"|0.602|0.625|0.351|0.001|0.000|0.001|0.001|0.034|0.000|0.001|0.000
"jammed"|"apretado"|0.235|0.817|0.411|0.011|0.000|0.009|0.060|0.000|0.001|0.001|0.000
"jammer"|"Jammer"|0.417|0.540|0.491|0.010|0.003|0.003|0.008|0.000|0.000|0.000|0.000
"janitor"|"portero"|0.510|0.350|0.527|0.000|0.000|0.289|0.000|0.000|0.000|0.000|0.000
"janitorial"|"conserje"|0.490|0.373|0.481|0.002|0.005|0.000|0.000|0.000|0.002|0.000|0.005
"japan"|"Japón"|0.667|0.482|0.580|0.000|0.000|0.000|0.000|0.121|0.000|0.000|0.000
"jar"|"tarro"|0.430|0.346|0.318|0.000|0.001|0.004|0.001|0.000|0.002|0.000|0.002
"jargon"|"jerga"|0.333|0.548|0.404|0.003|0.000|0.011|0.015|0.000|0.002|0.002|0.000
"jarhead"|"jarhead"|0.408|0.530|0.464|0.011|0.002|0.001|0.008|0.000|0.000|0.000|0.000
"jarring"|"discorde"|0.210|0.673|0.309|0.000|0.000|0.000|0.531|0.000|0.422|0.000|0.000
"jasmine"|"jazmín"|0.765|0.230|0.286|0.000|0.000|0.000|0.000|0.057|0.000|0.000|0.002
"jasper"|"jaspe"|0.480|0.425|0.402|0.003|0.000|0.001|0.005|0.001|0.001|0.000|0.002
"jaundice"|"ictericia"|0.214|0.480|0.355|0.000|0.000|0.000|0.359|0.000|0.000|0.000|0.000
"jaunt"|"excursión"|0.808|0.451|0.500|0.000|0.000|0.000|0.000|0.378|0.000|0.000|0.001
"java"|"Java"|0.459|0.321|0.343|0.000|0.002|0.000|0.002|0.001|0.001|0.000|0.023
"javelin"|"jabalina"|0.385|0.481|0.465|0.003|0.005|0.002|0.003|0.000|0.002|0.001|0.001
"jaw"|"mandíbula"|0.500|0.510|0.420|0.000|0.000|0.000|0.003|0.002|0.001|0.002|0.000
"jawbone"|"maxilar"|0.468|0.413|0.342|0.000|0.000|0.002|0.001|0.001|0.001|0.002|0.002
"jaws"|"mandíbulas"|0.385|0.528|0.455|0.000|0.000|0.000|0.469|0.000|0.000|0.000|0.000
"jay"|"arrendajo"|0.531|0.408|0.389|0.001|0.000|0.001|0.000|0.008|0.001|0.000|0.003
